id,slaveId,datStart,datEnd,duration,channel1,channel2,channel3,channel4,error
61,2,2021-09-08 11:05:48.467,2021-09-08 11:05:58.503,10,1,2,0,0,0
62,2,2021-09-08 11:05:58.503,2021-09-08 11:06:03.487,5,0,0,0,0,0
63,2,2021-09-08 11:06:03.487,2021-09-08 11:06:13.507,10,1,2,0,0,0
64,2,2021-09-08 11:06:13.507,2021-09-08 11:06:18.477,5,0,0,0,0,0
65,2,2021-09-08 11:06:18.477,2021-09-08 11:06:28.517,10,1,2,0,0,0
66,2,2021-09-08 11:06:28.517,2021-09-08 11:06:33.493,5,0,0,0,0,0
67,2,2021-09-08 11:06:33.493,2021-09-08 11:06:43.523,10,1,2,0,0,0
68,2,2021-09-08 11:06:43.523,2021-09-08 11:06:48.493,5,0,0,0,0,0
69,2,2021-09-08 11:06:48.493,2021-09-08 11:06:52.867,4,1,2,0,0,0
70,2,2021-09-08 11:06:52.867,2021-09-08 11:06:58.483,6,1,2,3,0,0
71,2,2021-09-08 11:06:58.483,2021-09-08 11:07:03.490,5,0,0,3,0,0
72,2,2021-09-08 11:07:03.490,2021-09-08 11:07:13.487,10,1,2,3,0,0
73,2,2021-09-08 11:07:13.487,2021-09-08 11:07:18.497,5,0,0,3,0,0
74,2,2021-09-08 11:07:18.497,2021-09-08 11:07:28.507,10,1,2,3,0,0
75,2,2021-09-08 11:07:28.507,2021-09-08 11:07:33.503,5,0,0,3,0,0
76,2,2021-09-08 11:07:33.503,2021-09-08 11:07:43.503,10,1,2,3,0,0
77,2,2021-09-08 11:07:43.503,2021-09-08 11:07:48.477,5,0,0,3,0,0
78,2,2021-09-08 11:07:48.477,2021-09-08 11:07:58.507,10,1,2,3,0,0
79,2,2021-09-08 11:07:58.507,2021-09-08 11:08:03.510,5,0,0,3,0,0
80,2,2021-09-08 11:08:03.510,2021-09-08 11:08:13.483,10,1,2,3,0,0
81,2,2021-09-08 11:08:13.483,2021-09-08 11:08:18.507,5,0,0,3,0,0
82,2,2021-09-08 11:08:18.507,2021-09-08 11:08:28.520,10,1,2,3,0,0
83,2,2021-09-08 11:08:28.520,2021-09-08 11:08:33.507,5,0,0,3,0,0
84,2,2021-09-08 11:08:33.507,2021-09-08 11:08:43.507,10,1,2,3,0,0
85,2,2021-09-08 11:08:43.507,2021-09-08 11:08:48.513,5,0,0,3,0,0
86,2,2021-09-08 11:08:48.513,2021-09-08 11:08:58.500,10,1,2,3,0,0
87,2,2021-09-08 11:08:58.500,2021-09-08 11:09:03.483,5,0,0,3,0,0
88,2,2021-09-08 11:09:03.483,2021-09-08 11:09:13.507,10,1,2,3,0,0
89,2,2021-09-08 11:09:13.507,2021-09-08 11:09:18.483,5,0,0,3,0,0
90,2,2021-09-08 11:09:18.483,2021-09-08 11:09:28.507,10,1,2,3,0,0
91,2,2021-09-08 11:09:28.507,2021-09-08 11:09:33.487,5,0,0,3,0,0
92,2,2021-09-08 11:09:33.487,2021-09-08 11:09:43.527,10,1,2,3,0,0
93,2,2021-09-08 11:09:43.527,2021-09-08 11:09:48.490,5,0,0,3,0,0
94,2,2021-09-08 11:09:48.490,2021-09-08 11:09:58.510,10,1,2,3,0,0
95,2,2021-09-08 11:09:58.510,2021-09-08 11:10:03.513,5,0,0,3,0,0
96,2,2021-09-08 11:10:03.513,2021-09-08 11:10:13.523,10,1,2,3,0,0
97,2,2021-09-08 11:10:13.523,2021-09-08 11:10:18.523,5,0,0,3,0,0
98,2,2021-09-08 11:10:18.523,2021-09-08 11:10:28.533,10,1,2,3,0,0
99,2,2021-09-08 11:10:28.533,2021-09-08 11:10:33.500,5,0,0,3,0,0
100,2,2021-09-08 11:10:33.500,2021-09-08 11:10:43.497,10,1,2,3,0,0
101,2,2021-09-08 11:10:43.497,2021-09-08 11:10:48.483,5,0,0,3,0,0
102,2,2021-09-08 11:10:48.483,2021-09-08 11:10:58.507,10,1,2,3,0,0
103,2,2021-09-08 11:10:58.507,2021-09-08 11:11:03.503,5,0,0,3,0,0
104,2,2021-09-08 11:11:03.503,2021-09-08 11:11:13.523,10,1,2,3,0,0
105,2,2021-09-08 11:11:13.523,2021-09-08 11:11:18.507,5,0,0,3,0,0
106,2,2021-09-08 11:11:18.507,2021-09-08 11:11:28.523,10,1,2,3,0,0
107,2,2021-09-08 11:11:28.523,2021-09-08 11:11:33.523,5,0,0,3,0,0
108,2,2021-09-08 11:11:33.523,2021-09-08 11:28:13.487,1000,1,2,3,0,0
109,2,2021-09-08 11:28:13.487,2021-09-08 11:36:33.483,500,1,0,3,0,0
110,2,2021-09-08 11:36:33.483,2021-09-08 11:53:13.483,1000,1,2,3,0,0
111,2,2021-09-08 11:53:13.483,2021-09-08 12:01:33.430,500,1,0,3,0,0
112,2,2021-09-08 12:01:33.430,2021-09-08 12:18:13.437,1000,1,2,3,0,0
113,2,2021-09-08 12:18:13.437,2021-09-08 12:26:33.407,500,1,0,3,0,0
114,2,2021-09-08 12:26:33.407,2021-09-08 12:43:13.413,1000,1,2,3,0,0
115,2,2021-09-08 12:43:13.413,2021-09-08 12:51:33.397,500,1,0,3,0,0
116,2,2021-09-08 12:51:33.397,2021-09-08 13:08:13.410,1000,1,2,3,0,0
117,2,2021-09-08 13:08:13.410,2021-09-08 13:16:33.387,500,1,0,3,0,0
118,2,2021-09-08 13:16:33.387,2021-09-08 13:33:13.353,1000,1,2,3,0,0
119,2,2021-09-08 13:33:13.353,2021-09-08 13:41:33.330,500,1,0,3,0,0
120,2,2021-09-08 13:41:33.330,2021-09-08 13:58:13.343,1000,1,2,3,0,0
121,2,2021-09-08 13:58:13.343,2021-09-08 14:06:33.323,500,1,0,3,0,0
122,2,2021-09-08 14:06:33.323,2021-09-08 14:23:13.313,1000,1,2,3,0,0
123,2,2021-09-08 14:23:13.313,2021-09-08 14:31:33.303,500,1,0,3,0,0
